location,coordinates,name,room type,room price,number of reviews,minimum nights,availibility,rooms rent by the host
 Quintana,"40.43922541646233, -3.641687525011456",Habitacion comoda sencilla,Private room,23,1,2,365,1
 Pueblo Nuevo,"40.43082349206585, -3.641505079744443",Habitación metro Ascao desde Julio 2020!,Private room,17,0,31,365,4
 Almagro,"40.436015445906754, -3.699260852267138",Habitación individual en Almagro,Private room,21,0,29,364,2
 Castillejos,"40.458469722915495, -3.6906938037278008",Habitación tipo suite,Private room,50,0,4,90,2
 Sol,"40.41573438009114, -3.7055210771426497",Una casa con vistas en Madrid,Private room,29,0,3,180,1
 Palacio,"40.421362306814316, -3.708501649987342",habitación callao,Private room,16,0,14,179,4
 Marroquina,"40.41060036056319, -3.650864657902209",Apartamento cerca del retiro,Entire home/apt,75,0,7,0,2
 Universidad,"40.42144628809532, -3.704645801158006",Holiday Apartment Madrid Center,Entire home/apt,90,48,5,365,3
 Sol,"40.41586744473297, -3.707037966369546",PLAZA MAYOR LOFT the genuine Madrid,Entire home/apt,76,231,2,1,3
 Universidad,"40.42334824359741, -3.7018748133305506",*** Malasaña B&B exterior***,Private room,21,184,1,365,3
 Universidad,"40.42173510162617, -3.70161103300757",Gran Via Valverde IV,Entire home/apt,183,29,3,365,7
 Comillas,"40.39802280640258, -3.714390188970997",ROOM DUPLEX-ATICO NEAR MADRID RIO,Private room,24,19,2,364,1
 Delicias,"40.400110486657816, -3.695229716716711",Habitación doble  luminosa,Private room,37,21,2,365,3
 Palacio,"40.4218010538924, -3.7086828136852885",Spacious flat w amazing sightseeing,Private room,40,5,1,365,1
 Rios Rosas,"40.438477262613134, -3.698880560419161",Quiet flat in historical Chamberí (Ponzano area),Entire home/apt,85,35,2,180,2
 Universidad,"40.420938959711314, -3.7035318698802495","Central Studio, 3 min to Gran Vía",Entire home/apt,60,260,2,0,1
 Sol,"40.415856761623935, -3.707479231053628",Room balcony next to Plaza Mayor - City Centre.,Private room,36,73,3,1,1
 Ventas,"40.423834773143376, -3.6543970747445216",Private room with excellent city center connection,Private room,25,82,1,179,2
 Universidad,"40.423363143417546, -3.7005948527868635",Private Room in the City Center,Private room,51,88,2,364,2
